snapshot_id,historical_project_id,snapshot_date,current_stage,next_stage,approvals_required,approvals_completed,approvals_pending,approval_progress_pct,oldest_pending_approval_days,legal_cases_total,legal_cases_pending,legal_cases_resolved,disputed_land_area,oldest_pending_case_days,compensation_total_amount,compensation_paid_amount,compensation_pending_amount,beneficiaries_eligible,beneficiaries_compensated,beneficiaries_pending,compensation_progress_pct,documents_required,documents_submitted,documents_verified,documents_incomplete,documentation_progress_pct,notifications_required,notifications_issued,notifications_pending,notification_progress_pct,parcels_total,parcels_disputed,ownership_conflicts_pending,ownership_conflicts_resolved,rr_families_required,rr_families_completed,rr_families_pending,rr_progress_pct,land_required_for_possession,land_acquired_for_possession,possession_progress_pct,stakeholder_requests_raised,stakeholder_responses_received,stakeholder_requests_pending,average_response_time_days,departments_involved,coordination_requests_raised,coordination_requests_resolved,coordination_requests_pending,average_coordination_response_days,days_in_current_stage,total_project_days,next_stage_delayed_30d,next_stage_delay_days,next_stage_planned_completion_date,next_stage_actual_completion_date,is_synthetic
53b4e3b2-b924-4115-84eb-87ec55c60e0f,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2020-09-03,Objection / Hearing,Land & Ownership Verification,9,2,7,22.2,28,3,3,0,6.3,45,193.22,25.5,167.72,320,42,278,13.2,24,11,7,13,29.2,5,2,3,40.0,98,19,5,14,120,5,115,4.2,82.2,0.0,0.0,19,4,15,26.7,4,17,3,14,35.3,32,177,1.0,50.0,2020-11-01,2020-12-21,True
52d5a597-c856-4624-9ded-c983835263a2,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2020-10-08,Land & Ownership Verification,Award / Valuation,9,3,6,33.3,59,3,3,0,6.0,146,193.22,27.17,166.05,320,44,276,14.1,24,11,7,13,29.2,5,2,3,40.0,98,28,14,14,120,1,119,0.8,82.2,16.7,20.3,19,8,11,27.4,4,17,4,13,29.7,33,212,1.0,61.0,2020-12-05,2021-02-04,True
cc33e0a8-ad1e-4b51-9018-e515023df28b,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2020-11-22,Land & Ownership Verification,Award / Valuation,9,4,5,44.4,44,3,2,1,5.4,153,193.22,63.9,129.32,320,105,215,33.1,24,14,10,10,41.7,5,2,3,40.0,98,28,17,11,120,37,83,30.8,82.2,2.9,3.5,19,4,15,23.8,4,17,7,10,7.6,78,257,1.0,61.0,2020-12-05,2021-02-04,True
adcca722-488a-401a-8cb1-a58b4ae61376,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2020-11-23,Land & Ownership Verification,Award / Valuation,9,5,4,55.6,20,3,2,1,5.4,128,193.22,44.12,149.1,320,73,247,22.8,24,8,5,16,20.8,5,2,3,40.0,98,14,2,12,120,41,79,34.2,82.2,0.0,0.0,19,10,9,14.1,4,17,4,13,40.0,79,258,1.0,61.0,2020-12-05,2021-02-04,True
1e7a9201-7496-4db8-8f96-2d9e370c09c6,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2020-12-22,Award / Valuation,Compensation Disbursement,9,5,4,55.6,12,3,2,1,5.2,91,193.22,41.67,151.55,320,69,251,21.6,24,13,8,11,33.3,5,3,2,60.0,98,15,4,11,120,26,94,21.7,82.2,0.0,0.0,19,9,10,21.6,4,17,4,13,25.5,1,287,1.0,58.0,2021-01-19,2021-03-18,True
456d9fa1-bc27-4e6d-9719-8c3bb9850555,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2021-01-23,Award / Valuation,Compensation Disbursement,9,5,4,55.6,10,3,2,1,5.1,35,193.22,58.79,134.43,320,97,223,30.4,24,13,8,11,33.3,5,3,2,60.0,98,19,1,18,120,42,78,35.0,82.2,8.6,10.5,19,12,7,6.6,4,17,7,10,32.5,33,319,1.0,58.0,2021-01-19,2021-03-18,True
109969f5-7db1-42e5-887a-bde6778b5838,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2021-02-10,Compensation Disbursement,Rehabilitation & Resettlement,9,6,3,66.7,45,3,2,1,4.2,70,193.22,64.05,129.17,320,106,214,33.1,24,11,7,13,29.2,5,3,2,60.0,98,17,0,17,120,27,93,22.5,82.2,17.8,21.7,19,8,11,20.5,4,17,6,11,24.2,6,337,1.0,76.0,2021-02-26,2021-05-13,True
b4768969-d4fc-43fa-bbaa-525a6305a76c,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2021-04-04,Rehabilitation & Resettlement,Possession,9,6,3,66.7,33,3,2,1,3.1,168,193.22,111.24,81.98,320,184,136,57.6,24,20,16,4,66.7,5,3,2,60.0,98,6,0,6,120,56,64,46.7,82.2,33.3,40.5,19,11,8,3.2,4,17,6,11,14.0,17,390,1.0,77.0,2021-05-06,2021-07-22,True
7717c50c-5d35-413a-8262-ae006b257dfe,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2021-08-03,Acquisition Completion,,9,8,1,88.9,67,3,2,1,4.3,100,193.22,161.81,31.41,320,267,53,83.7,24,21,17,3,70.8,5,4,1,80.0,98,5,0,5,120,95,25,79.2,82.2,59.8,72.7,19,15,4,22.1,4,17,10,7,35.7,12,511,,,,,True
997ab00e-e23b-4a5a-b3d4-d839fa2236c7,21c35aaf-1c28-4ff2-8cbc-5828ae2445dc,2021-10-06,Acquisition Completion,,9,9,0,100.0,0,3,1,2,2.2,24,193.22,160.72,32.5,320,266,54,83.2,24,23,16,1,66.7,5,4,1,80.0,98,1,0,1,120,120,0,100.0,82.2,77.3,94.0,19,18,1,6.7,4,17,11,6,5.1,76,575,,,,,True
